user_id,score,reason,created_at,survey_id,excluded_from_calculations,origin_url
2fa10580-736b-54fd-8093-f0be8b5a5771,0,Not much for jobs on the site!,2023-10-07 20:42:44 -0700,1792474665,FALSE,https://www.sittercity.com/nanny-jobs/mn/hugo/13244586?distance=25&index_in_results=6&page=2&per_page=15&search_strategy=nanny_job&searcher_id=3533019&sort=post_date&zipcode=55025
d28701fe-c0ba-5f89-be66-4b6951f76f4b,0,Parents are not reasonable with fair compensation and they tend to interview and then ghost you.,2023-10-03 08:40:18 -0700,1788406613,FALSE,https://www.sittercity.com/jobs/search?search_strategy=babysitter_job&zipcode=60625
5e0532c8-9741-5fce-a29d-cbb386949ed8,0,You throw messages up right in the middle of my trying to reply to a contact & your site is too difficult to navigate!,2023-10-05 07:27:30 -0700,1790466171,FALSE,https://www.sittercity.com/messaging/inbox/121428563?direction=desc&page_number=1&page_size=10&sort_by=received_at
eda3d797-326f-5af3-a809-9fc40c9defda,0,The vetting of sitters are not thoroughly conducted,2023-10-08 17:12:35 -0700,1792904147,FALSE,https://www.sittercity.com/account/discount-offer?entry=deactivate
9a594912-a421-586a-9b98-39de4123c0f3,0,Not been able to use the app,2023-10-08 23:18:27 -0700,1793050687,FALSE,https://www.sittercity.com/sitter/background_check_id_failed
c0d2e2eb-dd18-5fe9-a48d-51a74a5fd596,0,Members don't ever respond,2023-10-11 15:59:06 -0700,1796147544,FALSE,https://www.sittercity.com/jobs/search?distance=25&page=2&per_page=15&search_strategy=babysitter_job&searcher_id=17893220&selected_facets%5Brate%5D=21-30&sort=post_date&zipcode=75075
d6f16487-3bde-5bc1-b547-6690fd253220,0,idc,2023-10-11 17:11:25 -0700,1796181739,FALSE,https://www.sittercity.com/babysitting-jobs/ny/new-york/13267843?distance=15&index_in_results=7&page=1&per_page=15&search_strategy=babysitter_job&searcher_id=20064688&sort=post_date&zipcode=11216
efde0540-8247-5c4e-8c39-ed18adc07613,0,Have to pay in order to respond to applicants.,2023-10-12 20:36:24 -0700,1797225057,FALSE,https://www.sittercity.com/jobs/1e3e186a-e901-509e-8b95-e30ccb3cca6b/applications/0990d645-82e3-51ea-b817-4a958a8aa7f8?count=10
ac46491f-7cfc-59bc-a9ca-452e9efcbbe1,0,This is my first time using your app. Have not seen the jobs yet.,2023-10-17 12:39:28 -0700,1801207851,FALSE,https://www.sittercity.com/profile/provider/babysitter/babysitter_profile/edit
767ee06a-70e1-5cda-97fd-0675858c0791,0,They either never showed for interview or never responded to my messages,2023-10-13 11:46:43 -0700,1797907666,FALSE,https://www.sittercity.com/messaging/sentbox?direction=desc&page_number=1&page_size=10&sort_by=sent_at
f84f81bc-be51-5dbc-808f-6fb7ad01a05e,0,"So far, have only met flaky people or one person that seemed dangerous. ",2023-10-16 15:56:42 -0700,1800240019,FALSE,https://www.sittercity.com/messaging/inbox/121639770?direction=desc&page_number=1&page_size=10&sort_by=received_at
9270b982-2e1e-5e09-80b2-1f660becc591,0,N/a,2023-10-13 17:07:16 -0700,1798085800,FALSE,https://www.sittercity.com/direct_jobs/13268577?utm_medium=Email&utm_source=20231013-daily-jobs&utm_campaign=2021_SCSitter_Jobs_Daily&utm_content=job-one
